R/H,TEMPERATURE,RESISTANCE,,,,,,
58.3,24.94,1290.26,,,,,,
58.4,24.94,1290.26,,,,,,
58.3,24.94,1290.27,,,,,,
58.5,24.95,1290.26,,,,,,
58.6,24.95,1290.26,,,,,,
58.6,24.95,1290.26,,,,,,
58.6,24.95,1290.26,,,,,,
58.7,24.95,1290.26,,,,,,
58.7,24.96,1290.26,,,,,,
58.7,24.96,1290.26,,,,,,
58.7,24.96,1290.27,,,,,,
58.7,24.96,1290.27,,,,,,
58.7,24.96,1290.27,,,,,,
58.8,24.97,1290.27,,,,,,
58.8,24.97,1290.27,,,,,,
58.8,24.97,1290.27,,,,,,
58.9,24.99,1290.27,,,,,,
58.9,24.98,1290.27,,,,,,
58.9,24.98,1290.27,,,,,,
59,24.99,1290.27,,,,,,
58.9,24.99,1290.27,,,,,,
58.9,24.99,1290.27,,,,,,
58.9,24.99,1290.27,,,,,,
58.9,25,1290.27,,,,,,
58.9,25,1290.27,,,,,,
59,25.01,1290.27,,,,,,
59,25.01,1290.27,,,,,,
59.1,25.01,1290.27,,,,,,
59.1,25.02,1290.27,,,,,,
59.1,25.02,1290.27,,,,,,
59.1,25.03,1290.27,,,,,,
59.3,25.04,1290.27,,,,,,
59.3,25.04,1290.27,,,,,,
59.3,25.04,1290.27,,,,,,
59.4,25.05,1290.27,,,,,,
59.4,25.05,1290.27,,,,,,
59.4,25.05,1290.27,,,,,,
59.4,25.05,1290.27,,,,,,
59.6,25.06,1290.27,,,,,,
59.6,25.06,1290.27,,,,,,
59.6,25.06,1290.27,,,,,,
59.6,25.06,1290.27,,,,,,
59.6,25.06,1290.28,,,,,,
59.7,25.07,1290.27,,,,,,
59.7,25.08,1290.28,,,,,,
59.7,25.08,1290.28,,,,,,
59.8,25.09,1290.28,,,,,,
60,25.09,1290.28,,,,,,
60,25.1,1290.28,,,,,,
60,25.1,1290.28,,,,,,
60,25.11,1290.28,,,,,,
59.9,25.11,1290.28,,,,,,
59.9,25.1,1290.28,,,,,,
60,25.11,1290.28,,,,,,
60,25.11,1290.28,,,,,,
60,25.1,1290.28,,,,,,
59.9,25.11,1290.28,,,,,,
60.1,25.11,1290.28,,,,,,
60.2,25.12,1290.28,,,,,,
60.2,25.12,1290.28,,,,,,
60.1,25.12,1290.28,,,,,,
60.1,25.12,1290.28,,,,,,
60.1,25.13,1290.28,,,,,,
60.2,25.13,1290.28,,,,,,
60.2,25.13,1290.28,,,,,,
60.2,25.14,1290.29,,,,,,
60.3,25.14,1290.28,,,,,,
60.3,25.14,1290.29,,,,,,
60.2,25.14,1290.29,,,,,,
60.2,25.13,1290.29,,,,,,
60.2,25.14,1290.29,,,,,,
60.2,25.14,1290.29,,,,,,
60.3,25.14,1290.29,,,,,,
60.4,25.15,1290.29,,,,,,
60.4,25.15,1290.29,,,,,,
60.5,25.16,1290.29,,,,,,
60.4,25.16,1290.29,,,,,,
60.3,25.15,1290.29,,,,,,
60.3,25.15,1290.29,,,,,,
60.3,25.15,1290.29,,,,,,
60.3,25.15,1290.29,,,,,,
60.4,25.17,1290.29,,,,,,
60.4,25.16,1290.29,,,,,,
60.4,25.17,1290.29,,,,,,
60.4,25.17,1290.29,,,,,,
60.4,25.17,1290.29,,,,,,
60.6,25.18,1290.29,,,,,,
60.6,25.18,1290.29,,,,,,
60.5,25.17,1290.29,,,,,,
60.5,25.18,1290.3,,,,,,
60.5,25.18,1290.3,,,,,,
60.5,25.19,1290.3,,,,,,
60.6,25.19,1290.3,,,,,,
60.6,25.19,1290.3,,,,,,
60.5,25.19,1290.3,,,,,,
60.5,25.19,1290.3,,,,,,
60.5,25.19,1290.3,,,,,,
60.5,25.18,1290.3,,,,,,
60.5,25.19,1290.3,,,,,,
60.5,25.19,1290.3,,,,,,
60.4,25.19,1290.3,,,,,,
60.4,25.19,1290.3,,,,,,
60.3,25.19,1290.3,,,,,,
60.2,25.18,1290.3,,,,,,
60.2,25.18,1290.3,,,,,,
60.2,25.18,1290.3,,,,,,
60.2,25.19,1290.3,,,,,,
60.3,25.19,1290.3,,,,,,
60.2,25.18,1290.3,,,,,,
60.1,25.18,1290.3,,,,,,
60.1,25.18,1290.3,,,,,,
60.1,25.18,1290.3,,,,,,
60,25.18,1290.3,,,,,,
60,25.17,1290.3,,,,,,
60,25.18,1290.3,,,,,,
59.9,25.17,1290.3,,,,,,
59.7,25.16,1290.3,,,,,,
59.6,25.16,1290.3,,,,,,
59.5,25.17,1290.3,,,,,,
59.6,25.17,1290.3,,,,,,
59.6,25.18,1290.3,,,,,,
59.6,25.17,1290.3,,,,,,
59.4,25.18,1290.3,,,,,,
59.5,25.18,1290.3,,,,,,
59.3,25.18,1290.3,,,,,,
59.2,25.17,1290.3,,,,,,
59.2,25.18,1290.3,,,,,,
59.1,25.18,1290.3,,,,,,
58.9,25.18,1290.3,,,,,,
58.7,25.17,1290.3,,,,,,
58.6,25.18,1290.31,,,,,,
58.6,25.18,1290.3,,,,,,
58.6,25.19,1290.3,,,,,,
58.5,25.18,1290.3,,,,,,
58.4,25.18,1290.3,,,,,,
58.3,25.18,1290.3,,,,,,
58.3,25.18,1290.31,,,,,,
58.2,25.18,1290.3,,,,,,
58.2,25.18,1290.3,,,,,,
58.1,25.18,1290.31,,,,,,
58,25.17,1290.3,,,,,,
57.9,25.17,1290.3,,,,,,
57.8,25.17,1290.3,,,,,,
57.7,25.17,1290.31,,,,,,
57.6,25.17,1290.31,,,,,,
57.6,25.18,1290.31,,,,,,
57.5,25.17,1290.31,,,,,,
57.5,25.17,1290.31,,,,,,
57.4,25.17,1290.3,,,,,,
57.3,25.17,1290.31,,,,,,
57.3,25.17,1290.3,,,,,,
57.1,25.16,1290.3,,,,,,
57.2,25.17,1290.3,,,,,,
57.2,25.17,1290.3,,,,,,
57.2,25.17,1290.3,,,,,,
57,25.17,1290.3,,,,,,
57.1,25.16,1290.31,,,,,,
57.1,25.17,1290.3,,,,,,
57,25.16,1290.31,,,,,,
56.9,25.16,1290.31,,,,,,
56.9,25.16,1290.31,,,,,,
56.8,25.16,1290.31,,,,,,
56.8,25.16,1290.3,,,,,,
56.8,25.15,1290.31,,,,,,
56.7,25.15,1290.3,,,,,,
56.7,25.15,1290.31,,,,,,
56.7,25.15,1290.31,,,,,,
56.6,25.15,1290.3,,,,,,
56.6,25.15,1290.3,,,,,,
56.5,25.15,1290.3,,,,,,
56.5,25.14,1290.3,,,,,,
56.5,25.15,1290.3,,,,,,
56.5,25.14,1290.3,,,,,,
56.6,25.15,1290.3,,,,,,
56.5,25.14,1290.31,,,,,,
56.5,25.14,1290.3,,,,,,
56.5,25.14,1290.3,,,,,,
56.6,25.14,1290.3,,,,,,
56.5,25.13,1290.3,,,,,,
56.4,25.13,1290.3,,,,,,
56.4,25.14,1290.3,,,,,,
56.3,25.14,1290.3,,,,,,
56.3,25.13,1290.3,,,,,,
56.3,25.12,1290.3,,,,,,
56.2,25.13,1290.3,,,,,,
56.2,25.13,1290.3,,,,,,
56.3,25.13,1290.3,,,,,,
56.2,25.13,1290.3,,,,,,
56.2,25.12,1290.3,,,,,,
56.3,25.13,1290.3,,,,,,
56.2,25.12,1290.3,,,,,,
56.1,25.12,1290.3,,,,,,
56.1,25.12,1290.3,,,,,,
56.2,25.12,1290.3,,,,,,
56.1,25.11,1290.3,,,,,,
56.2,25.12,1290.3,,,,,,
56.1,25.11,1290.3,,,,,,
56.1,25.11,1290.3,,,,,,
56,25.11,1290.3,,,,,,
56,25.11,1290.3,,,,,,
56,25.11,1290.3,,,,,,
56,25.11,1290.3,,,,,,
55.9,25.11,1290.3,,,,,,
55.9,25.1,1290.3,,,,,,
55.9,25.1,1290.3,,,,,,
55.9,25.1,1290.3,,,,,,
55.9,25.1,1290.3,,,,,,
55.8,25.11,1290.3,,,,,,
55.8,25.1,1290.3,,,,,,
55.9,25.11,1290.3,,,,,,
56,25.1,1290.3,,,,,,
56,25.1,1290.3,,,,,,
56,25.1,1290.3,,,,,,
55.9,25.09,1290.3,,,,,,
55.8,25.09,1290.3,,,,,,
55.8,25.1,1290.3,,,,,,
55.9,25.09,1290.3,,,,,,
55.9,25.09,1290.3,,,,,,
55.8,25.08,1290.3,,,,,,
55.9,25.09,1290.3,,,,,,
55.8,25.08,1290.3,,,,,,
55.8,25.08,1290.3,,,,,,
55.9,25.08,1290.3,,,,,,
55.8,25.07,1290.3,,,,,,
55.9,25.08,1290.3,,,,,,
55.9,25.08,1290.3,,,,,,
55.9,25.08,1290.3,,,,,,
55.9,25.07,1290.3,,,,,,
55.8,25.07,1290.3,,,,,,
55.8,25.06,1290.29,,,,,,
55.8,25.06,1290.3,,,,,,
55.8,25.06,1290.3,,,,,,
55.8,25.06,1290.29,,,,,,
55.7,25.06,1290.3,,,,,,
55.8,25.05,1290.3,,,,,,
55.9,25.05,1290.3,,,,,,
55.9,25.05,1290.29,,,,,,
55.8,25.05,1290.29,,,,,,
55.8,25.05,1290.29,,,,,,
55.8,25.04,1290.3,,,,,,
55.8,25.04,1290.29,,,,,,
55.8,25.05,1290.29,,,,,,
55.8,25.04,1290.29,,,,,,
55.7,25.04,1290.3,,,,,,
55.8,25.04,1290.29,,,,,,
55.7,25.03,1290.29,,,,,,
55.7,25.03,1290.29,,,,,,
55.7,25.04,1290.29,,,,,,
55.8,25.04,1290.29,,,,,,
55.7,25.03,1290.29,,,,,,
55.6,25.03,1290.29,,,,,,
55.6,25.03,1290.29,,,,,,
55.7,25.03,1290.29,,,,,,
55.6,25.02,1290.29,,,,,,
55.6,25.02,1290.29,,,,,,
55.6,25.02,1290.29,,,,,,
55.7,25.03,1290.29,,,,,,
55.7,25.02,1290.29,,,,,,
55.6,25.02,1290.29,,,,,,
55.6,25.02,1290.29,,,,,,
55.5,25.02,1290.29,,,,,,
55.5,25.03,1290.29,,,,,,
55.5,25.02,1290.29,,,,,,
55.5,25.03,1290.29,,,,,,
55.5,25.02,1290.29,,,,,,
55.6,25.03,1290.29,,,,,,
55.5,25.02,1290.29,,,,,,
55.5,25.03,1290.29,,,,,,
55.5,25.01,1290.29,,,,,,
55.6,25.02,1290.29,,,,,,
55.6,25.01,1290.29,,,,,,
55.5,25.01,1290.29,,,,,,
55.6,25.02,1290.29,,,,,,
55.5,25.01,1290.29,,,,,,
55.6,25.01,1290.29,,,,,,
55.5,25.01,1290.29,,,,,,
55.5,25,1290.29,,,,,,
55.4,25.01,1290.29,,,,,,
55.5,25.01,1290.29,,,,,,
55.5,25.01,1290.29,,,,,,
55.5,25.01,1290.29,,,,,,
55.4,25.01,1290.29,,,,,,
55.5,25.01,1290.29,,,,,,
55.4,25.01,1290.29,,,,,,
55.4,25.01,1290.29,,,,,,
55.4,25.01,1290.29,,,,,,
55.4,25,1290.29,,,,,,
55.3,25.01,1290.29,,,,,,
55.4,25.01,1290.29,,,,,,
55.4,25.01,1290.29,,,,,,
55.5,25.01,1290.29,,,,,,
55.4,25.01,1290.29,,,,,,
55.3,25,1290.29,,,,,,
55.3,25,1290.29,,,,,,
55.4,25.01,1290.29,,,,,,
55.5,25,1290.29,,,,,,
55.4,24.99,1290.29,,,,,,
55.4,24.99,1290.29,,,,,,
55.3,24.99,1290.29,,,,,,
55.2,24.99,1290.29,,,,,,
55.2,25,1290.29,,,,,,
55.2,25,1290.29,,,,,,
55.3,24.99,1290.29,,,,,,
55.4,24.99,1290.29,,,,,,
55.3,24.99,1290.29,,,,,,
55.4,24.99,1290.29,,,,,,
55.3,24.99,1290.29,,,,,,
55.3,24.99,1290.29,,,,,,
55.3,24.99,1290.29,,,,,,
55.3,24.99,1290.29,,,,,,
55.4,24.99,1290.29,,,,,,
55.4,24.99,1290.29,,,,,,
55.3,24.99,1290.29,,,,,,
55.3,24.99,1290.29,,,,,,
55.3,24.98,1290.29,,,,,,
55.3,24.98,1290.29,,,,,,
55.3,24.98,1290.29,,,,,,
55.2,24.98,1290.29,,,,,,
55.2,24.98,1290.29,,,,,,
55.2,24.98,1290.29,,,,,,
55.2,24.98,1290.29,,,,,,
55.2,24.98,1290.29,,,,,,
55.2,24.98,1290.29,,,,,,
55.2,24.98,1290.29,,,,,,
55.2,24.97,1290.29,,,,,,
55.2,24.97,1290.29,,,,,,
55.2,24.97,1290.29,,,,,,
55.2,24.97,1290.29,,,,,,
55.2,24.98,1290.29,,,,,,
55.2,24.97,1290.29,,,,,,
55.4,24.98,1290.29,,,,,,
55.3,24.97,1290.29,,,,,,
55.4,24.97,1290.29,,,,,,
55.3,24.96,1290.29,,,,,,
55.2,24.97,1290.29,,,,,,
55.2,24.97,1290.29,,,,,,
55.2,24.96,1290.29,,,,,,
55.2,24.96,1290.29,,,,,,
55.1,24.96,1290.29,,,,,,
55.1,24.96,1290.29,,,,,,
55.2,24.96,1290.29,,,,,,
55.1,24.96,1290.29,,,,,,
55.2,24.96,1290.29,,,,,,
55.2,24.96,1290.29,,,,,,
55.2,24.96,1290.28,,,,,,
55.2,24.96,1290.29,,,,,,
55.2,24.96,1290.29,,,,,,
55.2,24.96,1290.28,,,,,,
55.2,24.96,1290.29,,,,,,
55.2,24.96,1290.29,,,,,,
55.2,24.96,1290.29,,,,,,
55.1,24.96,1290.28,,,,,,
55.1,24.95,1290.28,,,,,,
55.2,24.96,1290.29,,,,,,
55.2,24.95,1290.28,,,,,,
55.1,24.95,1290.29,,,,,,
55.1,24.95,1290.28,,,,,,
55.1,24.95,1290.29,,,,,,
55.2,24.96,1290.29,,,,,,
55.2,24.96,1290.28,,,,,,
55.1,24.95,1290.28,,,,,,
55.2,24.95,1290.28,,,,,,
55.3,24.96,1290.28,,,,,,
55.3,24.95,1290.28,,,,,,
55.4,24.95,1290.28,,,,,,
55.3,24.94,1290.29,,,,,,
55.3,24.94,1290.28,,,,,,
55.3,24.94,1290.28,,,,,,
55.3,24.94,1290.28,,,,,,
55.4,24.95,1290.28,,,,,,
55.3,24.94,1290.28,,,,,,
55.4,24.94,1290.28,,,,,,
55.3,24.94,1290.28,,,,,,
55.3,24.94,1290.28,,,,,,
55.3,24.93,1290.28,,,,,,
55.3,24.93,1290.28,,,,,,
55.3,24.94,1290.28,,,,,,
55.2,24.94,1290.28,,,,,,
55.2,24.94,1290.28,,,,,,
55.2,24.94,1290.28,,,,,,
55.2,24.94,1290.28,,,,,,
